task_id,domain,k,selector_i,selector_j,jaccard,overlap_jaccard_plans,seed
1.0-1000-classical-2000-elevators-10,elevators,20,bcoverage,bcoverage,1.0,1.0,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bcoverage,bmaxsum,0.21212121212121213,0.21212121212121213,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bcoverage,bmaxmin,0.1,0.1,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bcoverage,bnovelty,0.1,0.1,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bcoverage,maxsum_stability,0.1111111111111111,0.1111111111111111,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bmaxsum,bcoverage,0.21212121212121213,0.21212121212121213,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bmaxsum,bmaxsum,1.0,1.0,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bmaxsum,bmaxmin,0.1,0.1,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bmaxsum,bnovelty,0.1,0.1,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bmaxsum,maxsum_stability,0.42857142857142855,0.42857142857142855,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bmaxmin,bcoverage,0.1,0.1,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bmaxmin,bmaxsum,0.1,0.1,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bmaxmin,bmaxmin,1.0,1.0,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bmaxmin,bnovelty,1.0,1.0,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bmaxmin,maxsum_stability,0.1,0.1,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bnovelty,bcoverage,0.1,0.1,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bnovelty,bmaxsum,0.1,0.1,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bnovelty,bmaxmin,1.0,1.0,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bnovelty,bnovelty,1.0,1.0,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,bnovelty,maxsum_stability,0.1,0.1,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,maxsum_stability,bcoverage,0.1111111111111111,0.1111111111111111,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,maxsum_stability,bmaxsum,0.42857142857142855,0.42857142857142855,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,maxsum_stability,bmaxmin,0.1,0.1,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,maxsum_stability,bnovelty,0.1,0.1,1309817549
1.0-1000-classical-2000-elevators-10,elevators,20,maxsum_stability,maxsum_stability,1.0,1.0,1309817549
1.0-1000-classical-None-ferry-17,ferry,20,bcoverage,bcoverage,1.0,1.0,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bcoverage,bmaxsum,0.42857142857142855,0.42857142857142855,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bcoverage,bmaxmin,0.19047619047619047,0.19047619047619047,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bcoverage,bnovelty,0.19047619047619047,0.19047619047619047,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bcoverage,maxsum_stability,0.14285714285714285,0.14285714285714285,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bmaxsum,bcoverage,0.42857142857142855,0.42857142857142855,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bmaxsum,bmaxsum,1.0,1.0,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bmaxsum,bmaxmin,0.25,0.25,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bmaxsum,bnovelty,0.25,0.25,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bmaxsum,maxsum_stability,0.14285714285714285,0.14285714285714285,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bmaxmin,bcoverage,0.19047619047619047,0.19047619047619047,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bmaxmin,bmaxsum,0.25,0.25,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bmaxmin,bmaxmin,1.0,1.0,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bmaxmin,bnovelty,1.0,1.0,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bmaxmin,maxsum_stability,0.13636363636363635,0.13636363636363635,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bnovelty,bcoverage,0.19047619047619047,0.19047619047619047,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bnovelty,bmaxsum,0.25,0.25,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bnovelty,bmaxmin,1.0,1.0,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bnovelty,bnovelty,1.0,1.0,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,bnovelty,maxsum_stability,0.13636363636363635,0.13636363636363635,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,maxsum_stability,bcoverage,0.14285714285714285,0.14285714285714285,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,maxsum_stability,bmaxsum,0.14285714285714285,0.14285714285714285,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,maxsum_stability,bmaxmin,0.13636363636363635,0.13636363636363635,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,maxsum_stability,bnovelty,0.13636363636363635,0.13636363636363635,1266540618
1.0-1000-classical-None-ferry-17,ferry,20,maxsum_stability,maxsum_stability,1.0,1.0,1266540618
1.0-1000-classical-1998-gripper-1,gripper,20,bcoverage,bcoverage,1.0,1.0,1665754178
