selector_i,selector_j,n_tasks,median_jaccard,mean_jaccard,median_jaccard_plans,mean_jaccard_plans,behaviour_minus_plan
bcoverage,bcoverage,60,1.0,1.0,1.0,1.0,0.0
bcoverage,bmaxmin,60,0.1,0.10225468975468975,0.1,0.10225468975468975,0.0
bcoverage,bmaxsum,60,0.2701612903225806,0.3446624603739138,0.2701612903225806,0.3446624603739138,0.0
bcoverage,bnovelty,60,0.1,0.10555194805194805,0.1,0.10555194805194805,0.0
bcoverage,maxsum_stability,60,0.21212121212121213,0.36063764612586363,0.15966386554621848,0.3120038036491216,0.05245734657499365
bmaxmin,bcoverage,60,0.1,0.10225468975468975,0.1,0.10225468975468975,0.0
bmaxmin,bmaxmin,60,1.0,1.0,1.0,1.0,0.0
bmaxmin,bmaxsum,60,0.1,0.1382142857142857,0.1,0.1382142857142857,0.0
bmaxmin,bnovelty,60,1.0,0.8388888888888889,1.0,0.8388888888888889,0.0
bmaxmin,maxsum_stability,60,0.05,0.07945162384117828,0.047619047619047616,0.072648299767865,0.0023809523809523864
bmaxsum,bcoverage,60,0.2701612903225806,0.3446624603739138,0.2701612903225806,0.3446624603739138,0.0
bmaxsum,bmaxmin,60,0.1,0.1382142857142857,0.1,0.1382142857142857,0.0
bmaxsum,bmaxsum,60,1.0,1.0,1.0,1.0,0.0
bmaxsum,bnovelty,60,0.1,0.14166666666666666,0.1,0.14166666666666666,0.0
bmaxsum,maxsum_stability,60,0.21212121212121213,0.2839463918145378,0.17647058823529413,0.24319677881495744,0.035650623885918
bnovelty,bcoverage,60,0.1,0.10555194805194805,0.1,0.10555194805194805,0.0
bnovelty,bmaxmin,60,1.0,0.8388888888888889,1.0,0.8388888888888889,0.0
bnovelty,bmaxsum,60,0.1,0.14166666666666666,0.1,0.14166666666666666,0.0
bnovelty,bnovelty,60,1.0,1.0,1.0,1.0,0.0
bnovelty,maxsum_stability,60,0.058333333333333334,0.08262622701578146,0.047619047619047616,0.07494988706945228,0.010714285714285718
maxsum_stability,bcoverage,60,0.21212121212121213,0.36063764612586363,0.15966386554621848,0.3120038036491216,0.05245734657499365
maxsum_stability,bmaxmin,60,0.05,0.07945162384117828,0.047619047619047616,0.072648299767865,0.0023809523809523864
maxsum_stability,bmaxsum,60,0.21212121212121213,0.2839463918145378,0.17647058823529413,0.24319677881495744,0.035650623885918
maxsum_stability,bnovelty,60,0.058333333333333334,0.08262622701578146,0.047619047619047616,0.07494988706945228,0.010714285714285718
maxsum_stability,maxsum_stability,60,1.0,1.0,1.0,1.0,0.0
