task_id,domain,k,dimensions,n_dims,k_nn,selector,seed,b_coverage,b_maxsum,b_maxmin,b_novelty,maxsum_stability,redundancy,b_achieved,spread_go,spread_ru,spread_cb,hidden_pref_hits,hidden_pref_draws,hidden_pref_rate,hidden_pref_exact,coverage_by_dimension,n_selected,redundancy_floor,redundancy_excess,n_pool,b_pool,year,q,multiset_stability
1.0-1000-classical-2000-elevators-10,elevators,20,go,1,3,bcoverage,1309817549,20,133.3000000000001,0.2,0.32333333333333336,75.34878024648899,0,20,0.7015789473684215,,,11,50,0.22,0.20833333333333334,go:20/96,20,0,0,1000,96,2000,1.0,True
1.0-1000-classical-2000-elevators-10,elevators,20,go,1,3,bmaxsum,1309817549,20,154.00000000000014,0.2,0.4033333333333333,93.34334201877623,0,20,0.8105263157894744,,,11,50,0.22,0.20833333333333334,go:20/96,20,0,0,1000,96,2000,1.0,True
1.0-1000-classical-2000-elevators-10,elevators,20,go,1,3,bmaxmin,1309817549,2,1.0,1.0,1.0,0.5333333333333333,18,2,1.0,,,0,50,0.0,0.020833333333333332,go:2/96,2,0,18,1000,96,2000,1.0,True
1.0-1000-classical-2000-elevators-10,elevators,20,go,1,3,bnovelty,1309817549,2,1.0,1.0,1.0,0.5333333333333333,18,2,1.0,,,0,50,0.0,0.020833333333333332,go:2/96,2,0,18,1000,96,2000,1.0,True
1.0-1000-classical-2000-elevators-10,elevators,20,go,1,3,maxsum_stability,1309817549,20,152.3000000000002,0.2,0.3966666666666666,95.30890526929103,0,20,0.8015789473684222,,,8,50,0.16,0.20833333333333334,go:20/96,20,0,0,1000,96,2000,1.0,True
1.0-1000-classical-None-ferry-17,ferry,20,go+ru,2,3,bcoverage,1266540618,20,64.41666666666667,0.16666666666666666,0.21805555555555559,53.611371591371615,0,20,0.6780701754385965,0.0,,27,50,0.54,0.5833333333333334,"go:20/120,ru:1/1",20,0,0,120,120,None,1.0,True
1.0-1000-classical-None-ferry-17,ferry,20,go+ru,2,3,bmaxsum,1266540618,20,66.66666666666667,0.16666666666666666,0.2166666666666667,54.37410663410666,0,20,0.7017543859649124,0.0,,28,50,0.56,0.5833333333333334,"go:20/120,ru:1/1",20,0,0,120,120,None,1.0,True
1.0-1000-classical-None-ferry-17,ferry,20,go+ru,2,3,bmaxmin,1266540618,5,4.166666666666666,0.4166666666666667,0.4166666666666667,3.0045258445258445,15,5,0.8333333333333333,0.0,,24,50,0.48,0.5208333333333334,"go:5/120,ru:1/1",5,0,15,120,120,None,1.0,True
1.0-1000-classical-None-ferry-17,ferry,20,go+ru,2,3,bnovelty,1266540618,5,4.166666666666666,0.4166666666666667,0.4166666666666667,3.0045258445258445,15,5,0.8333333333333333,0.0,,24,50,0.48,0.5208333333333334,"go:5/120,ru:1/1",5,0,15,120,120,None,1.0,True
1.0-1000-classical-None-ferry-17,ferry,20,go+ru,2,3,maxsum_stability,1266540618,20,63.5,0.16666666666666666,0.20694444444444443,56.42229548229547,0,20,0.6684210526315789,0.0,,28,50,0.56,0.5833333333333334,"go:20/120,ru:1/1",20,0,0,120,120,None,1.0,True
1.0-1000-classical-1998-gripper-1,gripper,20,go+ru,2,3,bcoverage,1665754178,20,74.5,0.25,0.25,88.39298245614023,0,20,0.7842105263157895,0.0,,45,50,0.9,0.9166666666666667,"go:20/24,ru:1/1",20,0,0,384,24,1998,1.0,True
1.0-1000-classical-1998-gripper-1,gripper,20,go+ru,2,3,bmaxsum,1665754178,20,75.0,0.25,0.25,93.83859649122792,0,20,0.7894736842105263,0.0,,47,50,0.94,0.9166666666666667,"go:20/24,ru:1/1",20,0,0,384,24,1998,1.0,True
1.0-1000-classical-1998-gripper-1,gripper,20,go+ru,2,3,bmaxmin,1665754178,4,3.0,0.5,0.5,3.508771929824561,16,4,1.0,0.0,,31,50,0.62,0.5833333333333334,"go:4/24,ru:1/1",4,0,16,384,24,1998,1.0,True
1.0-1000-classical-1998-gripper-1,gripper,20,go+ru,2,3,bnovelty,1665754178,4,3.0,0.5,0.5,3.508771929824561,16,4,1.0,0.0,,31,50,0.62,0.5833333333333334,"go:4/24,ru:1/1",4,0,16,384,24,1998,1.0,True
1.0-1000-classical-1998-gripper-1,gripper,20,go+ru,2,3,maxsum_stability,1665754178,16,47.0,0.25,0.25520833333333337,99.03157894736825,4,16,0.7833333333333333,0.0,,45,50,0.9,0.8333333333333333,"go:16/24,ru:1/1",20,0,4,384,24,1998,1.0,True
1.0-1000-classical-None-miconic-10,miconic,20,go,1,3,bcoverage,1525500729,20,121.60000000000001,0.2,0.33166666666666667,71.75384551856325,0,20,0.64,,,8,50,0.16,0.20833333333333334,go:20/96,20,0,0,1000,96,None,1.0,True
1.0-1000-classical-None-miconic-10,miconic,20,go,1,3,bmaxsum,1525500729,20,153.5000000000001,0.2,0.38333333333333336,92.90858231562159,0,20,0.8078947368421059,,,11,50,0.22,0.20833333333333334,go:20/96,20,0,0,1000,96,None,1.0,True
1.0-1000-classical-None-miconic-10,miconic,20,go,1,3,bmaxmin,1525500729,2,1.0,1.0,1.0,0.5,18,2,1.0,,,0,50,0.0,0.020833333333333332,go:2/96,2,0,18,1000,96,None,1.0,True
1.0-1000-classical-None-miconic-10,miconic,20,go,1,3,bnovelty,1525500729,2,1.0,1.0,1.0,0.5,18,2,1.0,,,0,50,0.0,0.020833333333333332,go:2/96,2,0,18,1000,96,None,1.0,True
1.0-1000-classical-None-miconic-10,miconic,20,go,1,3,maxsum_stability,1525500729,20,151.1000000000001,0.2,0.40166666666666667,95.15718932881582,0,20,0.7952631578947374,,,8,50,0.16,0.20833333333333334,go:20/96,20,0,0,1000,96,None,1.0,True
1.0-1000-classical-1998-movie-1,movie,20,go+ru,2,3,bcoverage,744618490,20,117.42857142857153,0.14285714285714285,0.19523809523809518,129.50606060606052,0,20,0.5624060150375934,0.6736842105263158,,22,50,0.44,0.4,"go:20/100,ru:3/5",20,0,0,1000,212,1998,1.0,True
1.0-1000-classical-1998-movie-1,movie,20,go+ru,2,3,bmaxsum,744618490,20,136.57142857142875,0.14285714285714285,0.2738095238095238,135.82020202020198,0,20,0.5954887218045101,0.8421052631578947,,26,50,0.52,0.59,"go:18/100,ru:5/5",20,0,0,1000,212,1998,1.0,True
1.0-1000-classical-1998-movie-1,movie,20,go+ru,2,3,bmaxmin,744618490,4,5.142857142857144,0.8571428571428572,0.8571428571428572,4.448484848484848,16,4,0.7142857142857143,1.0,,22,50,0.44,0.42000000000000004,"go:4/100,ru:4/5",4,0,16,1000,212,1998,1.0,True
1.0-1000-classical-1998-movie-1,movie,20,go+ru,2,3,bnovelty,744618490,4,5.142857142857144,0.8571428571428572,0.8571428571428572,4.448484848484848,16,4,0.7142857142857143,1.0,,22,50,0.44,0.42000000000000004,"go:4/100,ru:4/5",4,0,16,1000,212,1998,1.0,True
1.0-1000-classical-1998-movie-1,movie,20,go+ru,2,3,maxsum_stability,744618490,20,134.6428571428574,0.14285714285714285,0.319047619047619,140.7909090909092,0,20,0.5857142857142846,0.8315789473684211,,27,50,0.54,0.595,"go:19/100,ru:5/5",20,0,0,1000,212,1998,1.0,True
1.0-1000-classical-2006-openstacks-1,openstacks,20,go,1,3,bcoverage,1425594218,20,158.0,0.4,0.5000000000000001,111.45758572151199,0,20,0.8315789473684211,,,28,50,0.56,0.5,go:20/40,20,0,0,160,40,2006,1.0,True
1.0-1000-classical-2006-openstacks-1,openstacks,20,go,1,3,bmaxsum,1425594218,20,159.39999999999998,0.4,0.5066666666666667,111.40256539831208,0,20,0.8389473684210526,,,22,50,0.44,0.5,go:20/40,20,0,0,160,40,2006,1.0,True
1.0-1000-classical-2006-openstacks-1,openstacks,20,go,1,3,bmaxmin,1425594218,4,6.0,1.0,1.0,3.755892324962534,16,4,1.0,,,4,50,0.08,0.1,go:4/40,4,0,16,160,40,2006,1.0,True
1.0-1000-classical-2006-openstacks-1,openstacks,20,go,1,3,bnovelty,1425594218,4,6.0,1.0,1.0,3.755892324962534,16,4,1.0,,,4,50,0.08,0.1,go:4/40,4,0,16,160,40,2006,1.0,True
1.0-1000-classical-2006-openstacks-1,openstacks,20,go,1,3,maxsum_stability,1425594218,20,159.00000000000006,0.4,0.5333333333333332,114.41514791366183,0,20,0.8368421052631582,,,30,50,0.6,0.5,go:20/40,20,0,0,160,40,2006,1.0,True
1.0-1000-classical-2008-pegsol-12,pegsol,20,go,1,3,bcoverage,1782990122,20,63.84848484848492,0.09090909090909091,0.23333333333333334,143.84020512218808,0,20,0.3360446570972891,,,11,50,0.22,0.21978021978021978,go:20/91,20,0,0,192,91,2008,1.0,True
1.0-1000-classical-2008-pegsol-12,pegsol,20,go,1,3,bmaxsum,1782990122,20,67.09090909090912,0.12121212121212122,0.2762626262626263,136.6339404580432,0,20,0.3531100478468901,,,15,50,0.3,0.21978021978021978,go:20/91,20,0,0,192,91,2008,1.0,True
1.0-1000-classical-2008-pegsol-12,pegsol,20,go,1,3,bmaxmin,1782990122,3,1.1818181818181817,0.3939393939393939,0.39393939393939387,2.60731319554849,17,3,0.39393939393939387,,,5,50,0.1,0.03296703296703297,go:3/91,3,0,17,192,91,2008,1.0,True
1.0-1000-classical-2008-pegsol-12,pegsol,20,go,1,3,bnovelty,1782990122,3,1.1818181818181817,0.3939393939393939,0.39393939393939387,2.60731319554849,17,3,0.39393939393939387,,,5,50,0.1,0.03296703296703297,go:3/91,3,0,17,192,91,2008,1.0,True
1.0-1000-classical-2008-pegsol-12,pegsol,20,go,1,3,maxsum_stability,1782990122,18,52.12121212121219,0.15151515151515152,0.24747474747474751,153.7626486771448,2,18,0.3406615171321058,,,7,50,0.14,0.1978021978021978,go:18/91,20,0,2,192,91,2008,1.0,True
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,go+ru,2,3,bcoverage,2065366244,20,57.21428571428566,0.14285714285714285,0.1559523809523809,141.94833288486535,0,20,0.6022556390977438,0.0,,39,50,0.78,0.8125,"go:20/32,ru:1/1",20,0,0,256,32,2004,1.0,True
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,go+ru,2,3,bmaxsum,2065366244,20,61.07142857142854,0.14285714285714285,0.15476190476190474,144.94046863009703,0,20,0.6428571428571426,0.0,,35,50,0.7,0.8125,"go:20/32,ru:1/1",20,0,0,256,32,2004,1.0,True
