stratum,selector,n_tasks,median_n_selected,median_b_achieved,median_redundancy,median_redundancy_floor,median_redundancy_excess,median_b_coverage,median_b_maxsum,median_b_maxmin,median_b_novelty,median_maxsum_stability,median_spread_go,median_spread_ru,median_hidden_pref_rate,mean_hidden_pref_rate,total_hidden_hits,total_hidden_draws,pooled_hidden_rate,median_hidden_pref_exact,mean_hidden_pref_exact
all,bcoverage,60,20.0,20.0,0.0,0.0,0.0,20.0,72.40178571428575,0.10263157894736842,0.21557539682539686,75.80004838642205,0.5729901677270094,0.0,0.46,0.45066666666666666,1352.0,3000.0,0.45066666666666666,0.51,0.4647999422070699
all,bmaxsum,60,20.0,20.0,0.0,0.0,0.0,20.0,75.02500000000003,0.1314655172413793,0.22187500000000004,92.05046388396116,0.6295112781954889,0.0,0.51,0.48233333333333334,1447.0,3000.0,0.48233333333333334,0.5338541666666666,0.4941702555327912
all,bmaxmin,60,2.0,2.0,18.0,0.0,18.0,2.0,1.0,0.5,0.5,0.6942084942084942,0.9230769230769231,0.0,0.4,0.30666666666666664,920.0,3000.0,0.30666666666666664,0.501,0.3152762662318515
all,bnovelty,60,2.0,2.0,18.0,0.0,18.0,2.0,1.0,0.5,0.5,0.714987714987715,0.8596059113300492,0.0,0.4,0.30700000000000005,921.0,3000.0,0.307,0.501,0.31528459956518484
all,maxsum_stability,60,20.0,20.0,0.0,0.0,0.0,20.0,66.16666666666666,0.1455026455026455,0.23846153846153845,95.36760315801277,0.5908939014202171,0.0,0.53,0.4776666666666667,1433.0,3000.0,0.4776666666666667,0.524702380952381,0.48067702707139975
b_pool>=k,bcoverage,60,20.0,20.0,0.0,0.0,0.0,20.0,72.40178571428575,0.10263157894736842,0.21557539682539686,75.80004838642205,0.5729901677270094,0.0,0.46,0.45066666666666666,1352.0,3000.0,0.45066666666666666,0.51,0.4647999422070699
b_pool>=k,bmaxsum,60,20.0,20.0,0.0,0.0,0.0,20.0,75.02500000000003,0.1314655172413793,0.22187500000000004,92.05046388396116,0.6295112781954889,0.0,0.51,0.48233333333333334,1447.0,3000.0,0.48233333333333334,0.5338541666666666,0.4941702555327912
b_pool>=k,bmaxmin,60,2.0,2.0,18.0,0.0,18.0,2.0,1.0,0.5,0.5,0.6942084942084942,0.9230769230769231,0.0,0.4,0.30666666666666664,920.0,3000.0,0.30666666666666664,0.501,0.3152762662318515
b_pool>=k,bnovelty,60,2.0,2.0,18.0,0.0,18.0,2.0,1.0,0.5,0.5,0.714987714987715,0.8596059113300492,0.0,0.4,0.30700000000000005,921.0,3000.0,0.307,0.501,0.31528459956518484
b_pool>=k,maxsum_stability,60,20.0,20.0,0.0,0.0,0.0,20.0,66.16666666666666,0.1455026455026455,0.23846153846153845,95.36760315801277,0.5908939014202171,0.0,0.53,0.4776666666666667,1433.0,3000.0,0.4776666666666667,0.524702380952381,0.48067702707139975
